2023-10-30 13:48:46,697 INFO    StreamThr :17709 [internal.py:wandb_internal():86] W&B internal server running at pid: 17709, started at: 2023-10-30 13:48:46.696852
2023-10-30 13:48:46,698 DEBUG   HandlerThread:17709 [handler.py:handle_request():146] handle_request: status
2023-10-30 13:48:46,706 INFO    WriterThread:17709 [datastore.py:open_for_write():85] open: /Users/noorainkazmi/Documents/GitHub/weights-biases/wandb/run-20231030_134846-n7af4bld/run-n7af4bld.wandb
2023-10-30 13:48:46,707 DEBUG   SenderThread:17709 [sender.py:send():380] send: header
2023-10-30 13:48:46,721 DEBUG   SenderThread:17709 [sender.py:send():380] send: run
2023-10-30 13:48:47,263 INFO    SenderThread:17709 [dir_watcher.py:__init__():211] watching files in: /Users/noorainkazmi/Documents/GitHub/weights-biases/wandb/run-20231030_134846-n7af4bld/files
2023-10-30 13:48:47,264 INFO    SenderThread:17709 [sender.py:_start_run_threads():1122] run started: n7af4bld with start time 1698670126.697665
2023-10-30 13:48:47,279 DEBUG   HandlerThread:17709 [handler.py:handle_request():146] handle_request: check_version
2023-10-30 13:48:47,279 DEBUG   SenderThread:17709 [sender.py:send_request():407] send_request: check_version
2023-10-30 13:48:47,385 DEBUG   HandlerThread:17709 [handler.py:handle_request():146] handle_request: run_start
2023-10-30 13:48:47,393 DEBUG   HandlerThread:17709 [system_info.py:__init__():32] System info init
2023-10-30 13:48:47,393 DEBUG   HandlerThread:17709 [system_info.py:__init__():47] System info init done
2023-10-30 13:48:47,393 INFO    HandlerThread:17709 [system_monitor.py:start():194] Starting system monitor
2023-10-30 13:48:47,393 INFO    SystemMonitor:17709 [system_monitor.py:_start():158] Starting system asset monitoring threads
2023-10-30 13:48:47,393 INFO    HandlerThread:17709 [system_monitor.py:probe():214] Collecting system info
2023-10-30 13:48:47,394 INFO    SystemMonitor:17709 [interfaces.py:start():190] Started cpu monitoring
2023-10-30 13:48:47,394 INFO    SystemMonitor:17709 [interfaces.py:start():190] Started disk monitoring
2023-10-30 13:48:47,396 INFO    SystemMonitor:17709 [interfaces.py:start():190] Started gpuapple monitoring
2023-10-30 13:48:47,397 DEBUG   HandlerThread:17709 [system_info.py:probe():196] Probing system
2023-10-30 13:48:47,400 INFO    SystemMonitor:17709 [interfaces.py:start():190] Started memory monitoring
2023-10-30 13:48:47,401 INFO    SystemMonitor:17709 [interfaces.py:start():190] Started network monitoring
2023-10-30 13:48:47,406 DEBUG   HandlerThread:17709 [system_info.py:_probe_git():181] Probing git
2023-10-30 13:48:47,420 DEBUG   HandlerThread:17709 [system_info.py:_probe_git():189] Probing git done
2023-10-30 13:48:47,421 DEBUG   HandlerThread:17709 [system_info.py:probe():244] Probing system done
