2023-10-30 15:07:55,117 INFO    MainThread:27649 [wandb_setup.py:_flush():76] Current SDK version is 0.15.12
2023-10-30 15:07:55,118 INFO    MainThread:27649 [wandb_setup.py:_flush():76] Configure stats pid to 27649
2023-10-30 15:07:55,118 INFO    MainThread:27649 [wandb_setup.py:_flush():76] Loading settings from /Users/noorainkazmi/.config/wandb/settings
2023-10-30 15:07:55,118 INFO    MainThread:27649 [wandb_setup.py:_flush():76] Loading settings from /Users/noorainkazmi/Documents/GitHub/weights-biases/wandb/settings
2023-10-30 15:07:55,118 INFO    MainThread:27649 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'entity': 'nookaz', 'project': 'weights-biases', 'sweep_id': 'q2mbmd69', 'root_dir': '/Users/noorainkazmi/Documents/GitHub/weights-biases', 'run_id': 'fd3544ln', 'sweep_param_path': '/Users/noorainkazmi/Documents/GitHub/weights-biases/wandb/sweep-q2mbmd69/config-fd3544ln.yaml'}
2023-10-30 15:07:55,118 INFO    MainThread:27649 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-10-30 15:07:55,118 INFO    MainThread:27649 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'iris--model--sweep.py', 'program_abspath': '/Users/noorainkazmi/Documents/GitHub/weights-biases/iris--model--sweep.py', 'program': '/Users/noorainkazmi/Documents/GitHub/weights-biases/iris--model--sweep.py'}
2023-10-30 15:07:55,118 INFO    MainThread:27649 [wandb_init.py:_log_setup():528] Logging user logs to /Users/noorainkazmi/Documents/GitHub/weights-biases/wandb/run-20231030_150755-fd3544ln/logs/debug.log
2023-10-30 15:07:55,118 INFO    MainThread:27649 [wandb_init.py:_log_setup():529] Logging internal logs to /Users/noorainkazmi/Documents/GitHub/weights-biases/wandb/run-20231030_150755-fd3544ln/logs/debug-internal.log
2023-10-30 15:07:55,118 INFO    MainThread:27649 [wandb_init.py:init():568] calling init triggers
2023-10-30 15:07:55,119 INFO    MainThread:27649 [wandb_init.py:init():575] wandb.init called with sweep_config: {'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 10, 'test_size': 0.48858054493655734}
config: {}
2023-10-30 15:07:55,119 INFO    MainThread:27649 [wandb_init.py:init():618] starting backend
2023-10-30 15:07:55,119 INFO    MainThread:27649 [wandb_init.py:init():622] setting up manager
2023-10-30 15:07:55,130 INFO    MainThread:27649 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-10-30 15:07:55,132 INFO    MainThread:27649 [wandb_init.py:init():628] backend started and connected
2023-10-30 15:07:55,144 INFO    MainThread:27649 [wandb_run.py:_config_callback():1324] config_cb None None {'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 10, 'test_size': 0.48858054493655734}
2023-10-30 15:07:55,145 INFO    MainThread:27649 [wandb_init.py:init():720] updated telemetry
2023-10-30 15:07:55,159 INFO    MainThread:27649 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2023-10-30 15:07:56,077 INFO    MainThread:27649 [wandb_run.py:_on_init():2220] communicating current version
2023-10-30 15:07:56,177 INFO    MainThread:27649 [wandb_run.py:_on_init():2229] got version response 
2023-10-30 15:07:56,177 INFO    MainThread:27649 [wandb_init.py:init():804] starting run threads in backend
2023-10-30 15:07:56,225 INFO    MainThread:27649 [wandb_run.py:_console_start():2199] atexit reg
2023-10-30 15:07:56,225 INFO    MainThread:27649 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2023-10-30 15:07:56,225 INFO    MainThread:27649 [wandb_run.py:_redirect():2119] Wrapping output streams.
2023-10-30 15:07:56,226 INFO    MainThread:27649 [wandb_run.py:_redirect():2144] Redirects installed.
2023-10-30 15:07:56,226 INFO    MainThread:27649 [wandb_init.py:init():845] run started, returning control to user process
2023-10-30 15:07:56,229 INFO    MainThread:27649 [wandb_run.py:_finish():1934] finishing run nookaz/weights-biases/fd3544ln
2023-10-30 15:07:56,229 INFO    MainThread:27649 [wandb_run.py:_atexit_cleanup():2168] got exitcode: 0
2023-10-30 15:07:56,229 INFO    MainThread:27649 [wandb_run.py:_restore():2151] restore
2023-10-30 15:07:56,229 INFO    MainThread:27649 [wandb_run.py:_restore():2157] restore done
2023-10-30 15:08:01,195 INFO    MainThread:27649 [wandb_run.py:_footer_history_summary_info():3599] rendering history
2023-10-30 15:08:01,195 INFO    MainThread:27649 [wandb_run.py:_footer_history_summary_info():3631] rendering summary
2023-10-30 15:08:01,203 INFO    MainThread:27649 [wandb_run.py:_footer_sync_info():3558] logging synced files
